Collected At,Store Name,Address,Store Phone,Owner Phone,Delivery Type,Volume (L),Price per Liter (KRW),Total Price (KRW),Collected By
2025-04-29,Chili Churros,"Gangnam-gu, Seoul, South Korea, Store Road 79",02-4957-2498,010-8782-6740,SMALL,8.6,1600,13760,Choi Cheong So
2023-05-14,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,10.3,1300,13390,Lee Jeong Hwa
2023-05-25,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,23.8,1600,38080,Park Ji Hye
2023-06-23,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,22.1,1500,33150,Hong Soo Geo
2023-07-10,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,23.3,1500,34950,Park Ji Hye
2023-07-22,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,17.2,1600,27520,Lee Jeong Hwa
2023-07-25,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,17.9,1300,23269,Kim Jung Je
2023-09-02,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,22.8,1500,34200,Hong Soo Geo
2023-09-05,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,16.0,1500,24000,Kim Jung Je
2023-09-24,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,24.7,1500,37050,Choi Cheong So
2023-09-27,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,19.1,1600,30560,Lee Jeong Hwa
2023-10-06,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,10.5,1600,16800,Park Ji Hye
2023-11-12,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,20.3,1300,26390,Kim Jung Je
2023-11-25,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,20.5,1600,32800,Hong Soo Geo
2023-12-08,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,14.0,1300,18200,Kim Jung Je
2024-01-09,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,20.3,1300,26390,Lee Jeong Hwa
2024-01-18,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,13.9,1600,22240,Hong Soo Geo
2024-01-24,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,11.6,1300,15080,Park Ji Hye
2024-01-27,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,20.2,1500,30300,Kim Jung Je
2024-03-09,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,11.2,1500,16800,Kim Jung Je
2024-03-26,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.4,1300,27819,Kim Jung Je
2024-04-09,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,23.9,1500,35850,Hong Soo Geo
2024-04-17,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,13.6,1600,21760,Hong Soo Geo
2024-04-18,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,22.7,1500,34050,Kim Jung Je
2024-04-20,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,14.6,1300,18980,Choi Cheong So
2024-05-07,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.3,1500,31950,Kim Jung Je
2024-05-25,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.4,1600,34240,Kim Jung Je
2024-05-31,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.8,1500,32700,Kim Jung Je
2024-06-19,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,18.8,1600,30080,Kim Jung Je
2024-06-26,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,22.7,1300,29510,Lee Jeong Hwa
2024-07-24,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,14.2,1600,22720,Hong Soo Geo
2024-08-07,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,15.5,1600,24800,Kim Jung Je
2024-10-05,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,18.3,1300,23790,Park Ji Hye
2024-11-08,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,23.6,1600,37760,Kim Jung Je
2024-11-12,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,23.6,1300,30680,Park Ji Hye
2024-12-02,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,19.0,1500,28500,Park Ji Hye
2024-12-04,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,13.0,1500,19500,Choi Cheong So
2024-12-31,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,16.5,1500,24750,Hong Soo Geo
2025-01-24,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,13.1,1500,19650,Hong Soo Geo
2025-01-25,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.5,1600,34400,Hong Soo Geo
2025-02-12,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,21.2,1300,27560,Hong Soo Geo
2025-02-26,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,12.4,1300,16120,Kim Jung Je
2025-03-27,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,14.7,1600,23520,Lee Jeong Hwa
2025-04-02,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,18.5,1600,29600,Park Ji Hye
2025-04-15,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,18.6,1300,24180,Park Ji Hye
2025-04-21,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,15.6,1600,24960,Park Ji Hye
2025-04-24,Fresh Vegan,"Gangnam-gu, Seoul, South Korea, Store Road 61",02-7980-8492,010-2170-8102,MEDIUM,24.5,1300,31850,Kim Jung Je
2023-05-05,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,8.4,1300,10920,Choi Cheong So
2023-05-24,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,4.0,1300,5200,Park Ji Hye
2023-06-20,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,7.9,1500,11850,Lee Jeong Hwa
2023-09-13,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,8.9,1500,13350,Kim Jung Je
2023-11-15,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,4.4,1600,7040,Choi Cheong So
2023-11-19,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,8.4,1600,13440,Choi Cheong So
2023-11-20,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.9,1600,9440,Choi Cheong So
2024-01-30,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,7.3,1300,9490,Hong Soo Geo
2024-02-04,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.4,1300,7020,Kim Jung Je
2024-03-21,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.1,1300,6629,Hong Soo Geo
2024-04-02,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,7.5,1600,12000,Choi Cheong So
2024-06-03,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.3,1300,6890,Lee Jeong Hwa
2024-08-06,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,7.4,1600,11840,Park Ji Hye
2024-09-03,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.0,1300,6500,Hong Soo Geo
2024-10-27,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,4.5,1500,6750,Lee Jeong Hwa
2024-11-02,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,5.5,1500,8250,Hong Soo Geo
2024-12-07,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,4.3,1600,6880,Lee Jeong Hwa
2024-12-11,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,9.1,1600,14560,Park Ji Hye
2025-01-19,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,6.7,1500,10050,Lee Jeong Hwa
2025-02-16,Gochujang Grill,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-4070-1509,010-4460-1294,SMALL,4.7,1300,6110,Hong Soo Geo
2023-05-01,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,17.0,1300,22100,Choi Cheong So
2023-05-28,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,21.6,1600,34560,Hong Soo Geo
2023-06-04,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,24.2,1500,36300,Kim Jung Je
2023-06-06,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,14.5,1600,23200,Kim Jung Je
2023-06-09,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,15.4,1500,23100,Kim Jung Je
2023-06-17,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,23.6,1300,30680,Lee Jeong Hwa
2023-07-02,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.8,1600,20480,Kim Jung Je
2023-07-03,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,23.3,1300,30290,Park Ji Hye
2023-07-04,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,19.8,1500,29700,Choi Cheong So
2023-07-06,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.5,1500,18750,Lee Jeong Hwa
2023-07-16,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.3,1300,15990,Hong Soo Geo
2023-07-19,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.7,1500,25050,Park Ji Hye
2023-07-20,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,22.2,1600,35520,Lee Jeong Hwa
2023-09-19,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,20.5,1300,26650,Park Ji Hye
2023-09-28,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,17.5,1600,28000,Lee Jeong Hwa
2023-10-14,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,10.3,1300,13390,Lee Jeong Hwa
2023-10-21,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,18.6,1300,24180,Hong Soo Geo
2023-10-23,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,21.1,1300,27430,Kim Jung Je
2023-11-08,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,18.3,1600,29280,Lee Jeong Hwa
2023-11-24,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,19.9,1600,31839,Kim Jung Je
2023-12-08,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.9,1500,17850,Kim Jung Je
2023-12-13,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.4,1300,14820,Choi Cheong So
2023-12-29,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,24.8,1500,37200,Choi Cheong So
2023-12-29,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,14.6,1600,23360,Kim Jung Je
2024-02-10,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,21.3,1600,34080,Choi Cheong So
2024-02-28,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,15.1,1500,22650,Lee Jeong Hwa
2024-03-07,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,19.3,1300,25090,Lee Jeong Hwa
2024-03-31,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,21.7,1600,34720,Park Ji Hye
2024-05-07,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.9,1300,21969,Kim Jung Je
2024-05-11,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.5,1300,14950,Hong Soo Geo
2024-05-11,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.7,1600,18720,Park Ji Hye
2024-05-15,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.5,1600,20000,Hong Soo Geo
2024-05-21,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.7,1500,17550,Choi Cheong So
2024-05-30,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,10.2,1300,13259,Hong Soo Geo
2024-05-30,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,17.4,1300,22619,Hong Soo Geo
2024-06-11,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,14.1,1600,22560,Kim Jung Je
2024-07-14,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.3,1300,21190,Lee Jeong Hwa
2024-08-22,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,20.5,1300,26650,Park Ji Hye
2024-09-09,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,20.8,1300,27040,Hong Soo Geo
2024-09-10,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,22.3,1300,28990,Park Ji Hye
2024-09-22,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,13.1,1500,19650,Park Ji Hye
2024-10-29,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.9,1300,21969,Park Ji Hye
2024-11-01,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.3,1500,24450,Hong Soo Geo
2024-12-05,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.4,1500,18600,Lee Jeong Hwa
2024-12-17,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,23.6,1300,30680,Lee Jeong Hwa
2024-12-22,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,21.8,1600,34880,Choi Cheong So
2024-12-25,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,23.8,1600,38080,Choi Cheong So
2025-01-05,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,11.3,1600,18080,Kim Jung Je
2025-01-06,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,24.8,1300,32240,Choi Cheong So
2025-01-18,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.0,1500,18000,Choi Cheong So
2025-01-30,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,15.3,1300,19890,Choi Cheong So
2025-02-25,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.4,1600,19840,Lee Jeong Hwa
2025-02-25,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.1,1600,25760,Kim Jung Je
2025-02-27,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,15.1,1600,24160,Kim Jung Je
2025-03-13,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,16.6,1600,26560,Lee Jeong Hwa
2025-03-26,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,18.2,1500,27300,Lee Jeong Hwa
2025-04-08,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,20.9,1500,31349,Kim Jung Je
2025-04-11,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,18.3,1600,29280,Park Ji Hye
2025-04-12,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,15.5,1600,24800,Park Ji Hye
2025-04-23,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,12.0,1600,19200,Hong Soo Geo
2025-04-23,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,13.1,1300,17030,Lee Jeong Hwa
2025-04-25,Grill Station,"Seongbuk-gu, Seoul, South Korea, Store Road 59",02-3238-7520,010-5751-4494,MEDIUM,13.1,1600,20960,Park Ji Hye
2023-05-11,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,24.2,1500,36300,Hong Soo Geo
2023-05-22,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,16.2,1300,21060,Choi Cheong So
2023-05-25,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,21.0,1300,27300,Park Ji Hye
2023-05-27,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,17.7,1500,26550,Kim Jung Je
2023-05-31,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,13.6,1600,21760,Park Ji Hye
2023-06-06,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,18.3,1300,23790,Park Ji Hye
2023-06-16,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,16.9,1600,27039,Park Ji Hye
2023-07-16,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,21.6,1600,34560,Park Ji Hye
2023-08-01,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,13.5,1500,20250,Choi Cheong So
2023-09-24,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,21.8,1600,34880,Choi Cheong So
2023-09-26,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,17.3,1500,25950,Park Ji Hye
2023-10-04,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,10.4,1300,13520,Kim Jung Je
2023-10-04,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,11.0,1500,16500,Lee Jeong Hwa
2023-11-01,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,12.5,1600,20000,Park Ji Hye
2023-11-24,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,17.4,1300,22619,Park Ji Hye
2023-12-08,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,15.6,1500,23400,Lee Jeong Hwa
2023-12-18,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,12.6,1600,20160,Lee Jeong Hwa
2023-12-21,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,13.2,1500,19800,Park Ji Hye
2023-12-22,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,17.4,1600,27839,Choi Cheong So
2023-12-23,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,22.5,1500,33750,Hong Soo Geo
2023-12-29,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,16.1,1300,20930,Choi Cheong So
2024-01-06,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,10.3,1300,13390,Park Ji Hye
2024-02-07,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,10.6,1600,16960,Choi Cheong So
2024-03-31,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,24.0,1300,31200,Kim Jung Je
2024-04-27,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,18.6,1600,29760,Lee Jeong Hwa
2024-05-02,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,23.0,1300,29900,Choi Cheong So
2024-05-09,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,19.9,1300,25869,Hong Soo Geo
2024-05-13,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,20.8,1500,31200,Park Ji Hye
2024-06-08,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,15.5,1600,24800,Lee Jeong Hwa
2024-06-10,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,12.0,1600,19200,Choi Cheong So
2024-06-15,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,15.1,1600,24160,Park Ji Hye
2024-07-05,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,17.2,1600,27520,Lee Jeong Hwa
2024-07-15,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,18.6,1500,27900,Choi Cheong So
2024-07-28,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,16.5,1300,21450,Hong Soo Geo
2024-07-29,Han's BBQ,"Seongbuk-gu, Seoul, South Korea, Store Road 16",02-7964-5238,010-3813-5305,MEDIUM,24.8,1600,39680,Choi Cheong So
